age,job,mbti,gender,work,edu,free_time,health,chores
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
29,job_seeker,ESTP,0,1.0,0.5,0.75,0.5,0.0
29,senior,INTP,0,0.5,1.0,1.0,1.0,0.5
27,job_seeker,INTP,0,0.75,0.75,0.5,0.5,0.5
22,senior,ISTP,1,1.0,0.75,0.75,0.75,0.5
27,job_seeker,ENTP,0,1.0,0.75,1.0,1.0,0.5
28,job_seeker,ESTP,1,1.0,0.5,0.75,1.0,0.5
22,senior,ENTP,1,0.5,1.0,0.25,0.75,0.0
22,senior,INTJ,1,0.75,0.75,1.0,0.75,0.5
24,senior,INFJ,1,0.5,0.5,0.5,0.75,0.75
28,job_seeker,ISTP,0,0.75,0.75,1.0,1.0,0.5
34,job_seeker,ENFJ,0,1.0,1.0,1.0,1.0,1.0
12,school_student,ENTP,1,1.0,1.0,1.0,0.75,0.5
28,job_seeker,ESFP,1,1.0,1.0,0.75,1.0,0.75
29,senior,ISFP,0,0.5,0.75,1.0,1.0,0.25
23,senior,ENFP,1,0.75,0.75,1.0,1.0,0.75
24,job_seeker,ISTP,1,0.75,0.75,0.75,0.75,0.75
22,senior,ENFP,1,0.75,0.5,0.75,1.0,0.5
23,senior,INTP,1,0.75,0.5,0.75,0.75,0.25
29,worker,ISTP,0,0.75,0.5,1.0,1.0,0.5
26,worker,ENFJ,0,1.0,0.75,1.0,1.0,0.75
27,job_seeker,INFJ,0,1.0,1.0,0.5,0.75,1.0
27,job_seeker,INTJ,0,0.25,0.75,1.0,1.0,0.5
28,job_seeker,INTJ,0,1.0,0.5,0.25,0.0,0.75
28,senior,ESFP,1,0.75,0.5,1.0,0.25,0.0
23,senior,INTP,0,0.5,0.5,0.5,0.5,0.5
27,job_seeker,ISTP,0,0.75,0.75,0.5,1.0,0.5
